兄弟 | 还不认亲 | Racism | hate [END]
她 | wj军官 | Sexism, Region | hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜 | Region | hate [END]
黑人 | 偏小众 | Racism | hate [END]
广东🐵 | 最爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男 | 颠倒黑白真的有一手 | Sexism, Region | hate [END]
这个帖子 | 被删了 | non-hate | non-hate [SEP] 视频 | 找不到了 | non-hate | non-hate [END]
人家 | 懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京 | Region | hate [END]
嗨人 | 死掉 | Racism | hate [END]
作奸犯科，为非作歹的人 | 歧视 | Racism | hate [END]
黑种人 | 基因顽强 | Racism | hate [END]
你 | 不觉得他是在黑我们吗？ | non-hate | non-hate [END]
黑哥 | 光天化日 | Racism | hate [SEP] 黑哥 | 居然就这样 | Racism | hate [END]
黑人白人 | 体味确实不是一般人受得了的 | Racism | hate [END]
江浙人 | 小气 | Region | hate [SEP] 江浙人 | 娘娘腔 | Region | hate [SEP] 江浙人 | 窝囊 | Region | hate [END]
双标的男人 | 好多了 | Sexism | hate [END]
妖怪 | 我还在杭州等你呢，妖怪你在哪里？ | non-hate | non-hate [END]
杨笠 | 恶心 | Sexism | hate [END]
浪子回头 | 是好事 | non-hate | non-hate [END]
你对象 | 找找了吗 | non-hate | non-hate [END]
黑人 | 中国人的审美很难认为 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | Sexism | non-hate [END]
上海人 | 好卑微 | Region | hate [END]
微博豆瓣小红书 | 女性的天下 | Sexism | hate [END]
广西人 | 跑调 | non-hate | non-hate [END]
你 | 谁会不尊重 | non-hate | non-hate [END]
上海人 | 最被歧视的 | Region | hate [END]
美国 | 搞和谐 | non-hate | non-hate [END]
白男 | 为了追小仙女玩极限运动，命都没了 | Racism, Sexism | hate [END]
正确的通讯录 | 素这样的 | LGBTQ | hate [END]
田园女权 | 男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽真的很厉害 | Region | hate [END]
东北 | 比你上海惨多了 | non-hate | non-hate [END]
江西 | 彩礼确实是真高 | non-hate | non-hate [END]
其他的 | 全是借口 | others | hate [END]
有一部分女的 | 被黑人包养 | Sexism, Racism | hate [END]
女的 | 对外国人好的学校领导 | Sexism, Racism | hate [END]
北京人 | 计较？ | non-hate | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
我的姑姑 | 血缘和宗 | non-hate | non-hate [END]
LKD | 又一个 | Sexism | hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男权吧 | 渣滓 | Sexism | hate [END]
默 | 真恶心 | Racism | hate [END]
少数低素质人 | 敌视整个地区 | Region | hate [END]
他的大小号 | 经常在HIV吧约跑 | Sexism | hate [END]
黄巢 | 净化华夏血统 | Racism | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
洋垃圾和eg | 确实该喷 | Racism | hate [END]
国女 | 通通咽得下去😓 | Sexism, Region | hate [END]
同性恋 | 也是可以和异性结婚 | non-hate | non-hate [END]
找白人女友 | 默默地排除出去了 | Sexism | hate [END]
男人 | 可以dy了吗？ | Sexism | hate [END]
微信群演 | 50一位稳定工资 | non-hate | non-hate [END]
37   同性恋 | 反同 | LGBTQ | hate [END]
黑人 | 屠杀犹太人 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 不予评价 | non-hate | non-hate [END]
你妈 | 买的吧 | others | hate [END]
大伙 | 集合了 | non-hate | non-hate [END]
陕西 | 急速滑坡 | Region | hate [END]
崇洋媚外的 | 都走最好 | Region | hate [END]
泰迪家族 | i了i了 | Racism | hate [END]
微博 | 对标的是虎扑 | non-hate | non-hate [END]
黑咋种 | 老是要关注我 | Racism | hate [END]
河南人 | 警惕性一下子就起来了… | Region | hate [END]
黑人 | 差不到哪里去 | Racism | hate [END]
你 | 在外国人的调教下 | Sexism, Racism | hate [END]
你 | 想表达什么⁉ | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 被满清文化绑定了😠 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 没人性 | Region | hate [END]
你 | loser | others | hate [SEP] 黑人 | 怎么怎么样 | non-hate | non-hate [END]
女士 | 不是男女平等 | Sexism | hate [END]
自嗨型基佬 | 嗨出优越 | LGBTQ | hate [END]
这波 | 虚空立靶了 | non-hate | non-hate [END]
有人 | 信誓旦旦的讲要娶国外妹子 | Sexism | hate [SEP] 国女 | 配不上 | Sexism | hate [END]
我 | 不奉陪了哈✌️✌ | others | hate [END]
库里 | 洁身自好 | non-hate | non-hate [END]
黑龙江人 | 都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 怎么不滚 | others | hate [END]
你 | 有很强的执行力 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了 | non-hate | non-hate [SEP] 她 | 来这出 | non-hate | non-hate [END]
黑娃 | 怎么也会被人说的，被人疏远的 | Racism, Sexism | hate [SEP] 黑娃 | 在中国生活也会很艰难 | Racism | hate [SEP] 这个黑娃 | 怎么也会被人说的，被人疏远的 | Racism | hate [SEP] 这个黑娃 | 在中国生活也会很艰难 | Racism | hate [SEP] 这黑娃 | 怎么也会被人说的，被人疏远的 | Racism | hate [SEP] 这黑娃 | 在中国生活也会很艰难 | Racism | hate [END]
你这类人 | 道听途说，随波逐流 | non-hate | non-hate [END]
女权 | 泛滥 | Sexism | hate [END]
东北人 | 特别热情 | non-hate | non-hate [END]
同概念 | 混乱世界的 | LGBTQ | hate [SEP] 同，双，跨种 | 一堆歪理 | LGBTQ | hate [END]
他 | 难道不是事实？ | non-hate | non-hate [END]
你妻子 | 告你强奸罪 | Sexism | hate [END]
男人 | 很变态 | Sexism | hate [END]
他 | 不承认 | non-hate | non-hate [END]
美女的对象 | 都是鲜肉帅哥 | non-hate | non-hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 被骚扰的时候 | non-hate | non-hate [END]
东北 | 黑的大本营 | Region | hate [SEP] 东北 | 在广东没啥存在感 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 罪大恶极的 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | others | hate [END]
你 | 嫁给洋人也别留在中国 | Sexism, Racism | hate [END]
杨靖宇将军 | 河南确山人 | non-hate | non-hate [END]
我们 | 不能歧视NBA | others | hate [END]
我们东北 | 素质差 黑社会 😅 | Region | hate [END]
幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | Sexism | hate [END]
小仙女 | 不能惹捏 | Sexism | hate [END]
澳门 | 有性感荷官 就不黑了 | Region | hate [END]
拿学历说事的 | 文盲辍学者 | non-hate | non-hate [END]
gay | 跑到反同群里面开盒 | LGBTQ | hate [END]
照片 | 打他脸 | Racism | hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 使劲媚外 | Region | hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
报团，喝酒，赌博，聚众打架的这些人 | 哪个地方会欢迎？ | non-hate | non-hate [END]
中国人 | 黑哪里都是黑自己 | non-hate | non-hate [END]
你们 | 没几年就被艾滋病战胜了 | Sexism others | hate [END]
中国女性 | 真正的口区 | Sexism | hate [END]
黑豹 | 拍的真一般 | non-hate | non-hate [END]
天津 | 地域黑最严重 | Region | hate [END]
早期很多“组织” | 用其他国家的黄种人和外国人的合照来骗国人 | Region | hate [END]
NULL | 喜欢看男人偶尔出瑰 | Sexism | hate [END]
河南人 | 坏 | Region | hate [SEP] 河南周口这个地方 | 专门搞电影诈骗的 | Region | hate [END]
黑人 | 拍马屁 | Racism | hate [END]
我 | 先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB | 发言的逆天程度 | others | hate [END]
黑奴 | 歧视 | Racism | hate [END]
河南同学 | 被黑的不敢说自己是河南的 | Region | hate [END]
潮汕火锅 | 天下第一 | non-hate | non-hate [SEP] 潮汕彩礼 | 天下第一 | Region | hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
没有暖气的西南 | 比有暖气的北方冷很多 | Region | hate [END]
那些人 | der | others | hate [END]
男性主义团体 | 向男性“传教” | Sexism | hate [END]
喜欢吃屎的人 | 大傻逼 | others | hate [END]
那啥点的崽子 | 落地直接走人 | Sexism | hate [END]
失足妇女 | 失足都不接默 | Sexism, Racism | hate [END]
基佬 | 没素质，没教养的人 | non-hate | non-hate [END]
皖北 | 什么都是 | non-hate | non-hate [END]
我 | 已经报告网警了 | non-hate | non-hate [END]
狗货 | 给私信关了 | others | hate [END]
江西 | 彩礼都是全退给小家的 | non-hate | non-hate [END]
双性恋 | 不男不女 | LGBTQ | hate [END]
小仙女 | 能做得来 | Sexism | hate [SEP] 老仙女 | 能做得来 | Sexism | hate [END]
有那么几个城市 | 不敢交往 | Region | hate [END]
女生 | 比男的懒 | Sexism | hate [END]
湖南人 | 把你家端了 | Region | hate [END]
荣誉女人 | 坏起来了 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | Sexism | hate [END]
洋大人 | 洋大人用过的，你也配用？ | Racism | hate [END]
基佬 | 艾滋病的传染概率 | LGBTQ, others | hate [END]
山西人 | 拿出来是黑色的就是山西人🤭 | Region | hate [END]
女同 | 反对 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | hate [END]
黑人 | 种族歧视 | Racism | hate [END]
幕刃 | 召唤舔狗 | Sexism | hate [END]
杂种 | 下贱 | Racism | hate [END]
欧美男友 | 那就肯定有游艇 | non-hate | non-hate [END]
蟑螂 | 说明 | Racism | hate [SEP] 蟑螂 | 阴处已经挤不下了 | Racism | hate [END]
这种人 | 代表不了东北 | non-hate | non-hate [SEP] 这种人 | 人真的很好 | non-hate | non-hate [SEP] 河南的人 | 代表不了东北 | non-hate | non-hate [SEP] 河南的人 | 人真的很好 | non-hate | non-hate [SEP] 河 | 代表不了东北 | non-hate | non-hate [SEP] 河 | 人真的很好 | non-hate | non-hate [SEP] 河南 | 代表不了东北 | non-hate | non-hate [SEP] 河南 | 人真的很好 | non-hate | non-hate [END]
和族 | 拉低 | Racism | hate [END]
东北人 | 整个 | Region | hate [SEP] 东北人 | 都是 | Region | hate [SEP] 东北人 | 垃圾，低劣的种族，应该灭绝 | Region | hate [END]
沐勾 | 高中 | Sexism | hate [SEP] 沐勾 | 可不少 | Sexism | hate [END]
江西 | 也被黑啊 | Region | hate [END]
你 | 也 | non-hate | non-hate [SEP] 你 | 不来了 | non-hate | non-hate [SEP] 这个家伙 | 也 | non-hate | non-hate [SEP] 这个家伙 | 不来了 | non-hate | non-hate [END]
黑小子们 | 不一定了 | Racism | hate [SEP] 黑小子 | 不一定了 | Racism | hate [END]
男同 | 三观不正，素质极差的人 | LGBTQ | hate [SEP] 男同 | 占大多数 | LGBTQ | hate [END]
性方 | 性方面也是比不了的 | non-hate | non-hate [END]
ez | 小姐从良 | Sexism | hate [SEP] ez | 不要媚外 | Sexism | hate [END]
我 | 终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着… | non-hate | non-hate [END]
艾兹病毒 | 入脑了 | non-hate | non-hate [END]
山东 | 要好一些 | non-hate | non-hate [END]
它 | 精神有问题的费 | Sexism | hate [END]
低温 | 不错，能处 | Region | hate [SEP] 低温 | 楞抢 | Region | hate [END]
莫利安人 | 是这样的 | Racism | hate [END]
东北人 | 被河南人睡 不亏 | Region | hate [END]
这种事情 | 完全无感 | non-hate | non-hate [END]
全球 | 看来还真是真可见全球所有世纪传染病传播源头都来自它们 | non-hate | non-hate [SEP] 它们 | 看来还真是真可见全球所有世纪传染病传播源头都来自它们 | non-hate | non-hate [END]
上海 | 全是苏北人 | Region | hate [END]
女 | 太暴躁 | non-hate | non-hate [SEP] 你 | 太暴躁 | non-hate | non-hate [SEP] 你男朋友 | 太暴躁 | non-hate | non-hate [END]
尊重？很多男同性恋都是在涉世不深时被忽悠甚至被骗的。 | 在涉世不深时被忽悠甚至被骗的 | non-hate | non-hate [END]
我 | 气得不行 | non-hate | non-hate [END]
舔 | 快被舔到天上去了 | Sexism | hate [SEP] 国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
你 | 女 | Sexism | hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [SEP] 黑人 | 暴力 | Racism | hate [SEP] 黑人 | 基因层面的 | Racism | hate [END]
女的 | 打 | Sexism | hate [SEP] 男 | 打 | Sexism | hate [SEP] 男的 | 打 | Sexism | hate [END]
饭桶 | 皆深柜 | Sexism | hate [END]
钻石 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [SEP] 钻石 | 不吉利的 | non-hate | non-hate [SEP] 钻戒 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [SEP] 钻戒 | 不吉利的 | non-hate | non-hate [END]
女方 | 想隐瞒你也很难知道 | non-hate | non-hate [END]
这么 | 有啥好处 | non-hate | non-hate [SEP] 你 | 有啥好处 | non-hate | non-hate [END]
地域黑的地方 | 也是存在的 | Region | hate [SEP] 地域黑的地方 | 没上海那么有名 | Region | hate [SEP] 你家乡 | 也是存在的 | Region | hate [SEP] 你家乡 | 没上海那么有名 | Region | hate [END]
地域黑 | 慣例無可避免 | Region | hate [SEP] 黑 | 慣例無可避免 | Region | hate [END]
媚外女性 | 媚外的才多吧 | Sexism | hate [END]
事实 | 都会承认 | non-hate | non-hate [SEP] 我 | 都会承认 | non-hate | non-hate [END]
普信的直男 | 不算 | LGBTQ | hate [SEP] 普信的直男 | 无差别攻击 | LGBTQ | hate [END]
女狗 | 给 | Sexism | hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ | hate [SEP] 同 | 不去滥交和大量传播艾滋病 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
色lang | 恶心 | Sexism | hate [SEP] 色lang | 讨厌 | Sexism | hate [END]
恩！生孩子都不用去医院！ | 生孩子都不用去医院！ | non-hate | non-hate [END]
河南 | 分数 | non-hate | non-hate [SEP] 河南 | 简直不能看 | non-hate | non-hate [END]
国男 | alphamale | Sexism | hate [SEP] 普通国男 | alphamale | Sexism | hate [END]
很多工厂 | 不招贵 | Region | hate [SEP] 很多工厂 | 真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 应该好好调查 | Racism | hate [END]
在车间从事生产的技术人员和工地看图纸的 | 又毒又累 | non-hate | non-hate [SEP] 工程师 | 又毒又累 | non-hate | non-hate [END]
你 | 有个黑色的玩伴 | Racism | hate [END]
你们 | 黑安 | Region | hate [END]
女拳 | 支持支持支持，女拳成了全女社区，更支持 | Sexism | hate [END]
她们 | 把 | Sexism | hate [SEP] 她们 | 培养成大纱布让愿意娶的弱指去娶 | Sexism | hate [END]
人类 | 起源于非洲 | Racism | hate [SEP] 嘿 | 起源于非洲 | Racism | hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
黑杂碎贱婢 | 表字***！！！！ | Racism | hate [END]
台湾人 | 打死也不嫁，又穷又老色胚 | Region | hate [SEP] 台 | 打死也不嫁，又穷又老色胚 | Region | hate [END]
通讯录 | 素质感人 | LGBTQ | hate [SEP] 通讯录 | 复读和被害妄想症已经算轻的 | LGBTQ | hate [END]
你 | 不是 | non-hate | non-hate [SEP] 你 | 发不了图片 | non-hate | non-hate [SEP] 我 | 不是 | non-hate | non-hate [SEP] 我 | 发不了图片 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝 | Sexism | hate [END]
成都 | 毕竟 | Region | hate [SEP] 成都 | 嘴碎 | Region | hate [SEP] 黑人 | 毕竟 | Region | hate [SEP] 黑人 | 嘴碎 | Region | hate [END]
你 | 工 | non-hate | non-hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | hate [END]
亚洲人 | 也没有大屌啊 | Racism | hate [END]
性少数者 | 就 | LGBTQ | hate [SEP] 性少数者 | 没几个大脑正常的 | LGBTQ | hate [END]
跨性别 | 这一辈子都想当 | Sexism | hate [SEP] 跨性别 | 泼妇的刻薄 | Sexism | hate [SEP] 跨性别 | 淫妇的放纵 | Sexism | hate [SEP] 女人 | 这一辈子都想当 | Sexism | hate [SEP] 女人 | 泼妇的刻薄 | Sexism | hate [SEP] 女人 | 淫妇的放纵 | Sexism | hate [END]
这边 | 风景独好 | non-hate | non-hate [END]
黑人 | 很多是有其他各种病的 | Racism | hate [END]
西 | 2021年，西北某211大学，大三，如此受过高等教育的学生，我竟然还有两个舍友组团黑河南，还是那种理智分析地黑，麻了😅 | Region | hate [END]
男性 | 多搜集一下 | Sexism | hate [SEP] 男性 | 遭到家暴的例子 | Sexism | hate [END]
人 | 和自 | non-hate | non-hate [SEP] 人 | 不能把 | non-hate | non-hate [SEP] 人 | 神圣不可侵犯的东西 | non-hate | non-hate [SEP] 我 | 和自 | non-hate | non-hate [SEP] 我 | 不能把 | non-hate | non-hate [SEP] 我 | 神圣不可侵犯的东西 | non-hate | non-hate [SEP] 民族主义 | 和自 | non-hate | non-hate [SEP] 民族主义 | 不能把 | non-hate | non-hate [SEP] 民族主义 | 神圣不可侵犯的东西 | non-hate | non-hate [END]
我 | 即世界 | non-hate | non-hate [SEP] 我身 | 即世界 | non-hate | non-hate [END]
嘴炮 | 有什么用？ | non-hate | non-hate [END]
老家浙江的我哪敢说 说了就是明明是我们歧视外地人😆 | 歧视外地人 | Region | hate [END]
事实 | 别梦 | non-hate | non-hate [END]
火星人 | 人好 | non-hate | non-hate [SEP] 火星人 | 名字都带人字 | non-hate | non-hate [END]
她 | 自己不把自己当人 | non-hate | non-hate [END]
这种就是典型的废物龟♂了兄弟们，大家引以为戒 | 典型 | Racism | hate [SEP] 这种就是典型的废物龟♂了兄弟们，大家引以为戒 | 废物龟♂ | Racism | hate [END]
畒🐶 | 乱叫而已 | Sexism | hate [SEP] 畒🐶 | jb口球就行了[表情 | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 想暴打 | non-hate | non-hate [SEP] 我 | 想暴打 | non-hate | non-hate [END]
还有百度，男女3:7，女拳特别多 | 男女3:7 | Sexism | hate [SEP] 还有百度，男女3:7，女拳特别多 | 女 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 要在中国呆，就得把皮拔了，染成黄色的 | Racism | hate [END]
外国人 | pc都不能接受 | Racism | hate [END]
我的朋友 | 我 | non-hate | non-hate [END]
他们 | 不去让 | non-hate | non-hate [END]
大东北 | 很多带节奏的别有用心的人搞事情 | Region | hate [SEP] 网络媒体 | 很多带节奏的别有用心的人搞事情 | Region | hate [SEP] 辽宁 | 很多带节奏的别有用心的人搞事情 | Region | hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
你 | 祝 | non-hate | non-hate [SEP] 你 | 早生贵子 | non-hate | non-hate [END]
埃及 | 奴隶 | Racism | hate [SEP] 埃及 | 附图 | Racism | hate [SEP] 埃及 | 怎么看都不像 | Racism | hate [SEP] 埃及 | 更像黄种人 | Racism | hate [SEP] 黑人 | 奴隶 | Racism | hate [SEP] 黑人 | 附图 | Racism | hate [SEP] 黑人 | 怎么看都不像 | Racism | hate [SEP] 黑人 | 更像黄种人 | Racism | hate [SEP] 闪 | 奴隶 | Racism | hate [SEP] 闪 | 附图 | Racism | hate [SEP] 闪 | 怎么看都不像 | Racism | hate [SEP] 闪 | 更像黄种人 | Racism | hate [SEP] 闪米特人 | 奴隶 | Racism | hate [SEP] 闪米特人 | 附图 | Racism | hate [SEP] 闪米特人 | 怎么看都不像 | Racism | hate [SEP] 闪米特人 | 更像黄种人 | Racism | hate [END]
南非 | 只有你跪虫族会说它曾经不是 | Racism | hate [END]
河南和东北 | 还是好上很多 | non-hate | non-hate [SEP] 山东 | 还是好上很多 | non-hate | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 够倒霉的 | non-hate | non-hate [END]
男男 | 可以接受 | Sexism | hate [SEP] 男男 | 不要出来恶心我 | Sexism | hate [END]
女性群体 | 主体意愿 | Sexism | hate [SEP] 女性群体 | 越来越无法忽视 | Sexism | hate [SEP] 女性群体 | 风 | Sexism | hate [SEP] 女性群体 | 争当烧鸡，爱浪爱玩 | Sexism | hate [SEP] 女性群体 | 模仿版本 | Sexism | hate [SEP] 你一个 | 主体意愿 | Sexism | hate [SEP] 你一个 | 越来越无法忽视 | Sexism | hate [SEP] 你一个 | 风 | Sexism | hate [SEP] 你一个 | 争当烧鸡，爱浪爱玩 | Sexism | hate [SEP] 你一个 | 模仿版本 | Sexism | hate [SEP] 男的 | 主体意愿 | Sexism | hate [SEP] 男的 | 越来越无法忽视 | Sexism | hate [SEP] 男的 | 风 | Sexism | hate [SEP] 男的 | 争当烧鸡，爱浪爱玩 | Sexism | hate [SEP] 男的 | 模仿版本 | Sexism | hate [END]
你们 | 啥也不懂啥也不是 | LGBTQ | hate [SEP] 同性恋 | 啥也不懂啥也不是 | LGBTQ | hate [SEP] 你们同性恋 | 啥也不懂啥也不是 | LGBTQ | hate [SEP] 你们同婚 | 啥也不懂啥也不是 | LGBTQ | hate [END]
女生 | 全国信绿 | Sexism | hate [END]
广东 | 根本不熟 | Region | hate [SEP] 广东 | 都不知道黑啥。。 | Region | hate [END]
女拳男 | 能不能414阿？ | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
黑人 | 背叛 | Racism | hate [SEP] 我 | 背叛 | Racism | hate [END]
黑 | 全国 | Region | hate [SEP] 黑 | 黑河南的 | Region | hate [SEP] 黑 | 黑 | Region | hate [SEP] 河南 | 全国 | Region | hate [SEP] 河南 | 黑河南的 | Region | hate [SEP] 河南 | 黑 | Region | hate [SEP] 西安人 | 全国 | Region | hate [SEP] 西安人 | 黑河南的 | Region | hate [SEP] 西安人 | 黑 | Region | hate [SEP] 全国人民 | 全国 | Region | hate [SEP] 全国人民 | 黑河南的 | Region | hate [SEP] 全国人民 | 黑 | Region | hate [END]
度度 | 马上就缩了回去怎么不继续表演了 | non-hate | non-hate [END]
嫁给黑人的国女 | 要 | Racism | hate [SEP] 嫁给黑人的国女 | 自觉点 | Racism | hate [SEP] 嫁给黑人的国女 | 污染别人家的基因就说不过去了 | Racism | hate [SEP] 黑二代 | 要 | Racism | hate [SEP] 黑二代 | 自觉点 | Racism | hate [SEP] 黑二代 | 污染别人家的基因就说不过去了 | Racism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
差评 | 要 | non-hate | non-hate [SEP] 差评 | 先买游戏玩过后才能 | non-hate | non-hate [END]
女〇 | 一堆 | Sexism | hate [END]
这人 | 这辈子没出过抚顺 | non-hate | non-hate [END]
新疆的回族 | 被黑惨了 | Region | hate [END]
黑人 | 引入 | Racism | hate [SEP] 黑人 | 只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 黑人 | 要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [SEP] 犹太人凯乐奇计划 | 引入 | Racism | hate [SEP] 犹太人凯乐奇计划 | 只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 犹太人凯乐奇计划 | 要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
他 | 蛤？他明明黑的是广西好吧？ | non-hate | non-hate [SEP] 广西 | 蛤？他明明黑的是广西好吧？ | non-hate | non-hate [END]
满嘴 | 什么歪成什么样子 | non-hate | non-hate [SEP] 满嘴 | 在搞笑 | non-hate | non-hate [END]
反同性恋的吧主 | 鸠占鹊巢又开始了 | LGBTQ | hate [END]
立 | 往死里压热度 | Sexism | hate [SEP] 立 | 不愧是姓逼 | Sexism | hate [SEP] 女拳砂男婴 | 往死里压热度 | Sexism | hate [SEP] 女拳砂男婴 | 不愧是姓逼 | Sexism | hate [END]
被骗是普遍的。 | 被骗 | non-hate | non-hate [SEP] 被骗是普遍的。 | 普遍的 | non-hate | non-hate [END]
黑上海的 | 超过了黑北京的 | Region | hate [SEP] 黑上海的 | 规模碾压北京 | Region | hate [SEP] 黑 | 超过了黑北京的 | Region | hate [SEP] 黑 | 规模碾压北京 | Region | hate [SEP] 上海 | 超过了黑北京的 | Region | hate [SEP] 上海 | 规模碾压北京 | Region | hate [END]
河南小朋友 | 骗过 | non-hate | non-hate [END]
90 00这代人 | 结婚率低 过几年排黑就会蔓延到生活中了 | Racism | hate [END]
基佬 | 看这个基佬的头像就知道这个怪物不敢说不需要孩子想要孩子了，如果他老年没有孩子会怎样了，可能他会想繁殖恋，他会后悔自己不做正常人。 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
gay | 对女性要友好得多了 | non-hate | non-hate [END]
民主党 | 把自己切了让别人死 | Region | hate [SEP] 民主党 | 典型的又蠢又坏 | Region | hate [SEP] 美国国内 | 把自己切了让别人死 | Region | hate [SEP] 美国国内 | 典型的又蠢又坏 | Region | hate [END]
那个图片 | u1s1，那个图片里对女人的解读基本没什么毛病，如果你觉得不对，那么请在五千年人类史中举出反例 | Sexism | hate [SEP] 女人 | u1s1，那个图片里对女人的解读基本没什么毛病，如果你觉得不对，那么请在五千年人类史中举出反例 | Sexism | hate [END]
这些黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 有点棒棒哒 | non-hate | non-hate [END]
老 | 保卫和建设这个国家 | Racism | hate [SEP] 嫁老外的这些女人 | 保卫和建设这个国家 | Racism | hate [SEP] 你 | 保卫和建设这个国家 | Racism | hate [END]
华人 | 继续者之大 | non-hate | non-hate [END]
国外 | 有图有真相，国外的现状我们的未来 | non-hate | non-hate [SEP] 我们 | 有图有真相，国外的现状我们的未来 | non-hate | non-hate [END]
知乎里关于地域的回答 | 不能看 | non-hate | non-hate [SEP] 知乎里关于地域的回答 | 乌烟瘴气的 | non-hate | non-hate [END]
女人 | 求着男人负责 | Sexism | hate [SEP] 女人 | 一 | Sexism | hate [SEP] 女人 | 强行大前提 | Sexism | hate [SEP] 脑瘫文学 | 求着男人负责 | Sexism | hate [SEP] 脑瘫文学 | 一 | Sexism | hate [SEP] 脑瘫文学 | 强行大前提 | Sexism | hate [END]
已婚女性 | 能 | Sexism | hate [SEP] 已婚女性 | 不配合 | Sexism | hate [SEP] 妻子 | 能 | Sexism | hate [SEP] 妻子 | 不配合 | Sexism | hate [END]
媚外 | 借媚外打压锅男 | Sexism | hate [SEP] 媚外 | 反 | Sexism | hate [SEP] 媚外 | 反拳 | Sexism | hate [SEP] 女拳 | 借媚外打压锅男 | Sexism | hate [SEP] 女拳 | 反 | Sexism | hate [SEP] 女拳 | 反拳 | Sexism | hate [END]
站街女 | 免费鸡院 | Sexism | hate [END]
有狐臭的人 | 歧视 | Racism | hate [SEP] 有狐臭的人 | 没有狐臭长得好品 | Racism | hate [SEP] 外国人 | 歧视 | Racism | hate [SEP] 外国人 | 没有狐臭长得好品 | Racism | hate [END]
日本 | 想在奥运装圣母 | Region | hate [END]
黑 | 偏袒 | Racism | hate [END]
国女 | 干的好事 | Sexism | hate [END]
不符合东方审美观 | 不符合东方审美观 | non-hate | non-hate [END]
