兄弟 | 还不认亲 | Racism | hate [END]
老子 | 脱发 搞毛发型？😅 | non-hate | non-hate [END]
韩国 | 比较正常 | non-hate | non-hate [SEP] 俄罗斯 | 比较正常 | non-hate | non-hate [END]
6460 结婚的 | 还是太多了 | non-hate | non-hate [END]
NULL | 不公平了 | non-hate | non-hate [END]
它们 | 只会骂中国男性 | Sexism | hate [END]
1856 他们 | 快赶上中世纪魔女审判了 | Sexism | hate [END]
他 | 教养 | LGBTQ | hate [SEP] 他 | 真丢人 | LGBTQ | hate [SEP] 基佬 | 教养 | LGBTQ | hate [SEP] 基佬 | 真丢人 | LGBTQ | hate [END]
男宝 | 妈不给男宝性，男宝会爱她吗？ | Sexism | hate [END]
百度 | 正义的 | non-hate | non-hate [END]
河南 | 担吗😆 | non-hate | non-hate [END]
任何话 | 都有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
黑人 | 用粤语屌他 | Racism | hate [END]
一个女的 | 以前老公是黑人 | Racism | hate [END]
动物袭 | 直接击毙就好了 | non-hate | non-hate [END]
这种货色 | 不拉到没人的地方一顿输出 | others | hate [END]
上海 | 歧视北京 | Region | hate [END]
人们 | 关注 | non-hate | non-hate [END]
黑蛆 | 只等潳令 | Racism | hate [END]
我们的子女 | 好看 | non-hate | non-hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
乱搞感染的 | 活该 | Sexism, LGBTQ | hate [END]
黑鬼 | 都灭了 | Racism | hate [END]
默 | 滚出中国就行了 | Racism | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
女权 | 钻空子 | Sexism | hate [END]
这个群体 | 不讲人家坏坏不抹黑 | non-hate | non-hate [END]
广西人 | 脸圆鼻子塌 | non-hate | non-hate [SEP] 广西人 | 比较温柔 | non-hate | non-hate [END]
我 | 活了十八年真的没看到穿紧身裤豆豆鞋的啊😅 | non-hate | non-hate [END]
黑客 | 只能 | non-hate | non-hate [END]
药娘 | 女的看得上 | Sexism | hate [END]
哥们 | 你这一看就是祖国哪里需要你，你就去哪里，我相信生活中不会有人看不起你的 | non-hate | non-hate [END]
黑人 | 有受教育这一说？ | Racism | hate [END]
黑人 | 最起码不是 | Racism | hate [END]
感性 | 总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志，你让她嫁给谁 | LGBTQ, others | hate [END]
黑皮 | 厌恶 | Racism | hate [END]
黑的 | 染病几率都没有那些女 | Sexism, Racism | hate [SEP] 失足女 | 染病几率都没有那些女 | Sexism | hate [SEP] 黑人 | 在大学约妹子从没有措施 | Sexism,  | hate [END]
舔狗 | 不得** | Sexism | hate [END]
歧视 | 杜绝 | non-hate | non-hate [END]
中华terf宫本 | 生育 | Sexism | hate [END]
慈溪 | 很多厂子都不招贵州人 | Region | hate [END]
广西的 | 默默刷评论默默走开 | non-hate | non-hate [END]
国女 | 不少就被这种所谓戒指骗的…… | Sexism | hate [END]
黑人 | 欺负 | Racism | hate [END]
这个要求 | 真不过分 | non-hate | non-hate [END]
钕拳 | 我直接把她删了 | Sexism | hate [END]
圣母婊 | 一点也不少 | Sexism | hate [END]
厕所里那坨屎 | 天天吃 | others | hate [END]
唐山 | 黑社会 | Region | hate [END]
反同者 | 炫耀自己骗了一位同性恋 | LGBTQ | hate [END]
摩洛哥 | 后面还能找到老公么 | Racism | hate [END]
小人 | 难养也 | non-hate | non-hate [END]
你们 | 活该 | non-hate | non-hate [END]
上海 | 黑白完 | Region | hate [SEP] 白完 | 被黑的最惨 | Region | hate [END]
洋人 | 真高贵 | Racism | hate [END]
东北人 | 喜欢 | non-hate | non-hate [SEP] 东北人 | 永远都代表着他们热情、爽快、好客啊 | non-hate | non-hate [END]
你 | 还在上海吗？ | non-hate | non-hate [END]
hiv吧 | 艾滋基佬 | LGBTQ, others | hate [END]
同性恋 | 认可 | non-hate | non-hate [END]
东亚和欧洲 | 生育率最低 | non-hate | non-hate [END]
地域黑 | 早已作古 | non-hate | non-hate [END]
她 | wj军官 | Sexism, Region | hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜 | Region | hate [END]
黑人 | 偏小众 | Racism | hate [END]
广东🐵 | 最爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男 | 颠倒黑白真的有一手 | Sexism, Region | hate [END]
这个帖子 | 被删了 | non-hate | non-hate [SEP] 视频 | 找不到了 | non-hate | non-hate [END]
人家 | 懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京 | Region | hate [END]
嗨人 | 死掉 | Racism | hate [END]
作奸犯科，为非作歹的人 | 歧视 | Racism | hate [END]
黑种人 | 基因顽强 | Racism | hate [END]
你 | 不觉得他是在黑我们吗？ | non-hate | non-hate [END]
黑哥 | 光天化日 | Racism | hate [SEP] 黑哥 | 居然就这样 | Racism | hate [END]
黑人白人 | 体味确实不是一般人受得了的 | Racism | hate [END]
江浙人 | 小气 | Region | hate [SEP] 江浙人 | 娘娘腔 | Region | hate [SEP] 江浙人 | 窝囊 | Region | hate [END]
双标的男人 | 好多了 | Sexism | hate [END]
妖怪 | 我还在杭州等你呢，妖怪你在哪里？ | non-hate | non-hate [END]
杨笠 | 恶心 | Sexism | hate [END]
浪子回头 | 是好事 | non-hate | non-hate [END]
你对象 | 找找了吗 | non-hate | non-hate [END]
黑人 | 中国人的审美很难认为 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | Sexism | non-hate [END]
上海人 | 好卑微 | Region | hate [END]
微博豆瓣小红书 | 女性的天下 | Sexism | hate [END]
广西人 | 跑调 | non-hate | non-hate [END]
你 | 谁会不尊重 | non-hate | non-hate [END]
上海人 | 最被歧视的 | Region | hate [END]
美国 | 搞和谐 | non-hate | non-hate [END]
白男 | 为了追小仙女玩极限运动，命都没了 | Racism, Sexism | hate [END]
正确的通讯录 | 素这样的 | LGBTQ | hate [END]
田园女权 | 男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽真的很厉害 | Region | hate [END]
东北 | 比你上海惨多了 | non-hate | non-hate [END]
江西 | 彩礼确实是真高 | non-hate | non-hate [END]
其他的 | 全是借口 | others | hate [END]
有一部分女的 | 被黑人包养 | Sexism, Racism | hate [END]
女的 | 对外国人好的学校领导 | Sexism, Racism | hate [END]
北京人 | 计较？ | non-hate | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
我的姑姑 | 血缘和宗 | non-hate | non-hate [END]
LKD | 又一个 | Sexism | hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男权吧 | 渣滓 | Sexism | hate [END]
默 | 真恶心 | Racism | hate [END]
少数低素质人 | 敌视整个地区 | Region | hate [END]
他的大小号 | 经常在HIV吧约跑 | Sexism | hate [END]
黄巢 | 净化华夏血统 | Racism | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
洋垃圾和eg | 确实该喷 | Racism | hate [END]
国女 | 通通咽得下去😓 | Sexism, Region | hate [END]
同性恋 | 也是可以和异性结婚 | non-hate | non-hate [END]
找白人女友 | 默默地排除出去了 | Sexism | hate [END]
男人 | 可以dy了吗？ | Sexism | hate [END]
微信群演 | 50一位稳定工资 | non-hate | non-hate [END]
37   同性恋 | 反同 | LGBTQ | hate [END]
黑人 | 屠杀犹太人 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 不予评价 | non-hate | non-hate [END]
你妈 | 买的吧 | others | hate [END]
大伙 | 集合了 | non-hate | non-hate [END]
陕西 | 急速滑坡 | Region | hate [END]
崇洋媚外的 | 都走最好 | Region | hate [END]
泰迪家族 | i了i了 | Racism | hate [END]
微博 | 对标的是虎扑 | non-hate | non-hate [END]
黑咋种 | 老是要关注我 | Racism | hate [END]
河南人 | 警惕性一下子就起来了… | Region | hate [END]
黑人 | 差不到哪里去 | Racism | hate [END]
你 | 在外国人的调教下 | Sexism, Racism | hate [END]
你 | 想表达什么⁉ | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 被满清文化绑定了😠 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 没人性 | Region | hate [END]
你 | loser | others | hate [SEP] 黑人 | 怎么怎么样 | non-hate | non-hate [END]
女士 | 不是男女平等 | Sexism | hate [END]
自嗨型基佬 | 嗨出优越 | LGBTQ | hate [END]
这波 | 虚空立靶了 | non-hate | non-hate [END]
有人 | 信誓旦旦的讲要娶国外妹子 | Sexism | hate [SEP] 国女 | 配不上 | Sexism | hate [END]
我 | 不奉陪了哈✌️✌ | others | hate [END]
库里 | 洁身自好 | non-hate | non-hate [END]
黑龙江人 | 都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 怎么不滚 | others | hate [END]
你 | 有很强的执行力 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了 | non-hate | non-hate [SEP] 她 | 来这出 | non-hate | non-hate [END]
黑娃 | 怎么也会被人说的，被人疏远的 | Racism, Sexism | hate [SEP] 黑娃 | 在中国生活也会很艰难 | Racism | hate [SEP] 这个黑娃 | 怎么也会被人说的，被人疏远的 | Racism | hate [SEP] 这个黑娃 | 在中国生活也会很艰难 | Racism | hate [SEP] 这黑娃 | 怎么也会被人说的，被人疏远的 | Racism | hate [SEP] 这黑娃 | 在中国生活也会很艰难 | Racism | hate [END]
你这类人 | 道听途说，随波逐流 | non-hate | non-hate [END]
女权 | 泛滥 | Sexism | hate [END]
东北人 | 特别热情 | non-hate | non-hate [END]
同概念 | 混乱世界的 | LGBTQ | hate [SEP] 同，双，跨种 | 一堆歪理 | LGBTQ | hate [END]
他 | 难道不是事实？ | non-hate | non-hate [END]
你妻子 | 告你强奸罪 | Sexism | hate [END]
男人 | 很变态 | Sexism | hate [END]
他 | 不承认 | non-hate | non-hate [END]
美女的对象 | 都是鲜肉帅哥 | non-hate | non-hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 被骚扰的时候 | non-hate | non-hate [END]
东北 | 黑的大本营 | Region | hate [SEP] 东北 | 在广东没啥存在感 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 罪大恶极的 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | others | hate [END]
你 | 嫁给洋人也别留在中国 | Sexism, Racism | hate [END]
杨靖宇将军 | 河南确山人 | non-hate | non-hate [END]
我们 | 不能歧视NBA | others | hate [END]
我们东北 | 素质差 黑社会 😅 | Region | hate [END]
幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | Sexism | hate [END]
小仙女 | 不能惹捏 | Sexism | hate [END]
澳门 | 有性感荷官 就不黑了 | Region | hate [END]
拿学历说事的 | 文盲辍学者 | Sexism | hate [SEP] 拿学历说事的 | 少数 | Sexism | hate [SEP] 我 | 文盲辍学者 | Sexism | hate [SEP] 我 | 少数 | Sexism | hate [SEP] 还在上学的 | 文盲辍学者 | Sexism | hate [SEP] 还在上学的 | 少数 | Sexism | hate [END]
他 | 跑到反同群里面开盒 | LGBTQ | hate [SEP] gay | 跑到反同群里面开盒 | LGBTQ | hate [END]
他 | 真的要我放一张东亚小女孩和白人小女孩的照片打他脸吗 | Racism | hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 使劲媚外 | non-hate | non-hate [END]
你 | 高大上 | Racism | hate [SEP] 你 | 连最起码温饱解决不了 | Racism | hate [SEP] 黑人 | 高大上 | Racism | hate [SEP] 黑人 | 连最起码温饱解决不了 | Racism | hate [END]
报团，喝酒，赌博，聚众打架的这些人 | 哪个地方会欢迎？ | non-hate | non-hate [SEP] 企业 | 哪个地方会欢迎？ | non-hate | non-hate [END]
中国人 | 黑哪里都是黑自己 | Region | hate [END]
你们 | 没几年就被艾滋病战胜了 | non-hate | non-hate [END]
世界女权 | 真正的口区女权比例不大吧 | Sexism | hate [SEP] 中国女性 | 真正的口区女权比例不大吧 | Sexism | hate [SEP] 中国女 | 真正的口区女权比例不大吧 | Sexism | hate [END]
黑豹 | 拍的真一般 | Racism | hate [END]
天津 | 地域黑最严重 | Region | hate [SEP] 河南东北 | 地域黑最严重 | Region | hate [END]
黄皮肤的人 | 请不要看到 | Region | hate [SEP] 黄皮肤的人 | 用 | Region | hate [SEP] 中国 | 请不要看到 | Region | hate [SEP] 中国 | 用 | Region | hate [SEP] “组织 | 请不要看到 | Region | hate [SEP] “组织 | 用 | Region | hate [END]
姓生 | 喜欢看男人偶尔出瑰 | Sexism | hate [END]
河南人 | 坏 | Region | hate [SEP] 河南人 | 专门搞电影诈骗的 | Region | hate [SEP] 河南周口这个地方 | 坏 | Region | hate [SEP] 河南周口这个地方 | 专门搞电影诈骗的 | Region | hate [END]
黑人 | 全国到处是 | Racism | hate [SEP] 黑人 | 拍 | Racism | hate [END]
我 | 先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB | 发言的逆天程度 | non-hate | non-hate [END]
黑奴 | 歧视 | Racism | hate [END]
我 | 被黑的不敢说自己是河南的 | Region | hate [SEP] 河南同学 | 被黑的不敢说自己是河南的 | Region | hate [END]
潮汕火锅 | 天下第一 | Region | hate [SEP] 潮汕彩礼 | 天下第一 | Region | hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
没有暖气的西南 | 比有暖气的北方冷很多 | Region | hate [END]
那些人 | der | non-hate | non-hate [END]
男性主义团体 | 向男性“传教” | non-hate | non-hate [SEP] 男性主义团体 | 告诫他们杜绝与女人发生严肃认真的恋爱关系，特别是婚姻关系 | non-hate | non-hate [SEP] 男性主义团体 | 选择了以个人为重的生活 | non-hate | non-hate [SEP] 男性群体 | 向男性“传教” | non-hate | non-hate [SEP] 男性群体 | 告诫他们杜绝与女人发生严肃认真的恋爱关系，特别是婚姻关系 | non-hate | non-hate [SEP] 男性群体 | 选择了以个人为重的生活 | non-hate | non-hate [END]
你 | 大傻逼 | non-hate | non-hate [SEP] 喜欢吃屎的人 | 大傻逼 | non-hate | non-hate [END]
那啥点的崽子 | 落地直接走人 | Sexism | hate [END]
失足妇女 | 失足都不接默 | Sexism | hate [END]
基佬 | 没素质，没教养的人 | LGBTQ | hate [END]
皖北 | 把 | Region | hate [SEP] 皖北 | 什么都是 | Region | hate [END]
我 | 已经报告网警了 | non-hate | non-hate [END]
狗货 | 给私信关了 | others | hate [END]
江西 | 彩礼高 | non-hate | non-hate [SEP] 江西 | 全退给 | non-hate | non-hate [END]
中立的吧主 | 不男不女的双性恋 | non-hate | non-hate [END]
小仙女 | 能做得来 | Sexism | hate [SEP] 老仙女 | 能做得来 | Sexism | hate [END]
所以有那么几个城市不敢交往， | 不敢交往 | non-hate | non-hate [END]
女生 | 比男的懒 | non-hate | non-hate [END]
湖南人 | 把你家端了 | Region | hate [END]
荣誉女人 | 坏起来了 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [SEP] 东北 | 基本黑一下拉倒了 | Region | hate [SEP] 其他地方 | 被黑是最惨的 | Region | hate [SEP] 其他地方 | 基本黑一下拉倒了 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | Sexism | hate [END]
洋大人 | 洋大人用过的，你也配用？ | Racism | hate [END]
基佬 | 艾滋病的传染概率 | LGBTQ | hate [END]
山西人 | 识别山西人的办法：让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人🤭 | Region | hate [END]
女同 | 饺子不爱吃皮儿 | LGBTQ | hate [SEP] 女同 | 明 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | non-hate | non-hate [END]
黑人 | 其实种族歧视是要连接到利益的，美国是个移民国家，黑人也美国国家内部的人民，而种族歧视的核心是对于同工同酬的双标问题，是否有工作，同样的工作量是否拿同样的钱，而不是光怎么看待怎么看待这种虚空之中而不连接到现实生活中的东西，别人只是怎么看他真对他有什么影响吗，别人还不能有自己的看法了，一个外国人在中国打工能同工同酬付同样的钱能买到同样的商品怎么能算是种族歧视呢，更何况中国是个原住民国家本来就没有黑人这个种族，本来就不是中国国家内部的自己人算什么种族歧视啊？他们只是来中国赚钱淘金的？中国内部的所有社会福利待遇都是中国人民支持政府反哺出来的凭什么要求在中国得到与中国人民一样的待遇享受？ | Racism | hate [END]
舔狗 | 召唤 | Sexism | hate [SEP] 幕刃 | 召唤 | Sexism | hate [SEP] 舔 | 召唤 | Sexism | hate [END]
杂种 | 下贱 | Racism | hate [END]
欧美男友 | 那就肯定有游艇 | non-hate | non-hate [END]
蟑螂 | 阴处已经挤不下了 | Sexism | hate [END]
这种人 | 人真的很好 | non-hate | non-hate [SEP] 河南的人 | 人真的很好 | non-hate | non-hate [SEP] 河南同事 | 人真的很好 | non-hate | non-hate [END]
和 | 拉低 | Racism | hate [END]
他们 | 整个 | Region | hate [SEP] 他们 | 都是 | Region | hate [SEP] 他们 | 垃圾，低劣的种族，应该灭绝 | Region | hate [SEP] 东北人 | 整个 | Region | hate [SEP] 东北人 | 都是 | Region | hate [SEP] 东北人 | 垃圾，低劣的种族，应该灭绝 | Region | hate [END]
沐勾 | 可不少 | Sexism | hate [END]
江西 | 也被黑 | Region | hate [END]
你 | 不来了 | non-hate | non-hate [SEP] 这个家伙 | 不来了 | non-hate | non-hate [END]
黑小子们 | 不一定了 | Racism | hate [SEP] 黑小子们 | 搞出 | Racism | hate [SEP] 黑小子 | 不一定了 | Racism | hate [SEP] 黑小子 | 搞出 | Racism | hate [END]
男同 | 三观不正，素质极差的人 | LGBTQ | hate [SEP] 男同 | 占大多数 | LGBTQ | hate [END]
性方 | 也是比不了的 | non-hate | non-hate [END]
ez | 不要媚外 | Racism | hate [END]
我 | 终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着… | non-hate | non-hate [END]
艾兹病毒 | 入脑了 | non-hate | non-hate [END]
山东 | 好一些 | non-hate | non-hate [END]
它 | 精神有问题的费 | non-hate | non-hate [END]
河南朋友是真的不错，能处！但是低温……这……我见过一次，那就是楞抢那种，他连套路都懒得套路你那种了，明白吗！就是你哪怕上来好言好语骗你上套呢，他都懒得说这好听话了。你哪怕说两句好听话，哪怕骗，这好听话听的舒服了，甘愿给你两文也就给了。关键他都懒得去说了，楞抢那人😂 | 楞抢那 | Region | hate [END]
莫利安人 | 是这样的 | Racism | hate [END]
东北 | 被河南人睡 不亏 | Region | hate [END]
这种事情 | 完全无感 | non-hate | non-hate [END]
全球 | 看来还真是真可见全球所有世纪传染病传播源头都来自它们 | non-hate | non-hate [SEP] 它们 | 看来还真是真可见全球所有世纪传染病传播源头都来自它们 | non-hate | non-hate [END]
上海 | 全 | Region | hate [SEP] 上海 | 苏北人好 | Region | hate [END]
你男朋友 | 太暴躁 | non-hate | non-hate [END]
很多男同性恋 | 在涉世不深时被忽悠甚至被骗的 | non-hate | non-hate [END]
我 | 气得不行 | non-hate | non-hate [END]
国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
你 | 女权吧派过来搞事的 | non-hate | non-hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [SEP] 黑人 | 暴力 | Racism | hate [SEP] 黑人 | 基因层面的 | Racism | hate [END]
女 | 打 | Sexism | hate [SEP] 女 | 敢还一下手 | Sexism | hate [SEP] 女 | 后果 | Sexism | hate [SEP] 女 | 不堪设想 | Sexism | hate [SEP] 男的 | 打 | Sexism | hate [SEP] 男的 | 敢还一下手 | Sexism | hate [SEP] 男的 | 后果 | Sexism | hate [SEP] 男的 | 不堪设想 | Sexism | hate [END]
饭桶 | 深柜 | Sexism | hate [END]
钻石 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [SEP] 钻石 | 不吉利的 | non-hate | non-hate [SEP] 钻戒 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [SEP] 钻戒 | 不吉利的 | non-hate | non-hate [END]
女方 | 想隐瞒你也很难知道 | non-hate | non-hate [END]
这么做有啥好处呢？你给解释一下我不明白 | 这么做有啥好处呢？ | non-hate | non-hate [END]
地域黑的地方 | 也是存在的 | Region | hate [SEP] 你家乡 | 也是存在的 | Region | hate [END]
地域黑 | 慣例無可避免 | Region | hate [SEP] 地域黑 | 黑呀黑 | Region | hate [END]
媚外女性 | 媚外 | non-hate | non-hate [END]
我 | 只要是事实， | non-hate | non-hate [END]
普信的直男 | 无差别攻击 | LGBTQ | hate [END]
女狗 | 送温暖 | Sexism | hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ | hate [SEP] 同性恋 | 不去滥交和大量传播艾滋病 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
色lang | 讨厌 | Sexism | hate [END]
生孩子 | 生孩子都不用去医院！ | non-hate | non-hate [END]
河南 | 分数线 | non-hate | non-hate [SEP] 河南 | 简直不能看 | non-hate | non-hate [END]
国男 | alphamale | Sexism | hate [SEP] 国男 | 跟着沾光 | Sexism | hate [SEP] 普 | alphamale | Sexism | hate [SEP] 普 | 跟着沾光 | Sexism | hate [END]
很多 | 真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 应该好好调查 | Racism | hate [END]
工程师 | 又毒又累了 | non-hate | non-hate [END]
你 | 黑色的玩伴 | Racism | hate [END]
你们 | 黑安徽江西最严重的也是 | Region | hate [END]
女拳 | 全女社区 | Sexism | hate [END]
她们 | 把 | Sexism | hate [SEP] 她们 | 培养成大纱布让愿意娶的弱指去娶 | Sexism | hate [END]
人类 | 起源于非洲 | Racism | hate [SEP] 嘿人 | 起源于非洲 | Racism | hate [END]
犹太人 | 祸害全球人类 | Racism | hate [END]
黑杂碎贱婢 | 黑杂碎贱婢表字***！！！！ | Racism | hate [END]
台湾人 | 打死也不嫁 | Region | hate [SEP] 台湾人 | 又穷又老色胚 | Region | hate [END]
通讯录 | 素质感人捏 | LGBTQ | hate [END]
你 | 发不了图片 | non-hate | non-hate [SEP] 我 | 发不了图片 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝都不知道 | Region | hate [END]
成都 | 基本上所有人都知道了 | Region | hate [SEP] 成都 | 毕竟嘴碎 | Region | hate [SEP] 黑人 | 基本上所有人都知道了 | Region | hate [SEP] 黑人 | 毕竟嘴碎 | Region | hate [END]
你工作单 | 知道你是同性恋会怎样呢 | non-hate | non-hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | hate [END]
亚洲人 | 也没有大屌啊 | Racism | hate [END]
性少数者 | 就没几个大脑正常的 | non-hate | non-hate [END]
跨性别 | 这一辈子都想当女人 | Sexism | hate [END]
这边 | 风景独好 | non-hate | non-hate [END]
黑人 | 很多是有其他各种病的 | Racism | hate [END]
河南 | 组团黑 | Region | hate [END]
男 | 多搜集一下 | LGBTQ | hate [SEP] 男 | 遭到家暴的例子 | LGBTQ | hate [SEP] 男性 | 多搜集一下 | LGBTQ | hate [SEP] 男性 | 遭到家暴的例子 | LGBTQ | hate [END]
人 | 和 | non-hate | non-hate [SEP] 人 | 敌人 | non-hate | non-hate [SEP] 人 | 不能把 | non-hate | non-hate [SEP] 民族主义 | 和 | non-hate | non-hate [SEP] 民族主义 | 敌人 | non-hate | non-hate [SEP] 民族主义 | 不能把 | non-hate | non-hate [END]
我 | 即世界 | non-hate | non-hate [SEP] 我身 | 即世界 | non-hate | non-hate [END]
NULL | 嘴炮有什么用？ | non-hate | non-hate [END]
浙江 | 歧视外地人 | Region | hate [END]
NULL | 别梦了 | non-hate | non-hate [END]
火星人 | 名字都带人字了 | Racism | hate [END]
她 | 不把自己当人 | others | hate [END]
这种 | 典型的废物龟♂了 | Sexism | hate [END]
牠 | jb口球就行了[表情] | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 道理很多人给你讲过了，你不听，我家族亲戚教育也不会出现你这种人所以我很小几率碰到，但阻拦不了我想暴打你一顿的欲望 | non-hate | non-hate [END]
女拳 | 特别多 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 要在中国呆，就得把皮拔了，染成黄色的 | Racism | hate [END]
外国人 | pc都不能接受 | LGBTQ | hate [END]
我的朋友 | 我的朋友的话我就会包容啊 | non-hate | non-hate [END]
他们 | 不去让 | non-hate | non-hate [END]
大东北 | 很多带节奏的别有用心的人搞事情 | Region | hate [SEP] 网络媒体 | 很多带节奏的别有用心的人搞事情 | Region | hate [SEP] 辽宁 | 很多带节奏的别有用心的人搞事情 | Region | hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
你 | 早生贵子 | non-hate | non-hate [END]
埃及 | 奴隶 | Racism | hate [SEP] 埃及 | 更像黄种人 | Racism | hate [SEP] 黑人 | 奴隶 | Racism | hate [SEP] 黑人 | 更像黄种人 | Racism | hate [SEP] 闪米特人 | 奴隶 | Racism | hate [SEP] 闪米特人 | 更像黄种人 | Racism | hate [END]
南非 | 跪虫族 | Racism | hate [END]
河南 | 还是好上很多 | non-hate | non-hate [SEP] 山东 | 还是好上很多 | non-hate | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 够倒霉的 | non-hate | non-hate [END]
男的 | 不要出来恶心我 | Sexism | hate [END]
女性群体 | 争当烧鸡 | Sexism | hate [SEP] 女性群体 | 想爽 | Sexism | hate [SEP] 你一个 | 主体意愿 | Sexism | hate [SEP] 你一个 | 争当烧鸡， | Sexism | hate [SEP] 你一个 | 想爽 | Sexism | hate [SEP] 男的 | 主体意愿 | Sexism | hate [SEP] 男的 | 争当烧鸡， | Sexism | hate [SEP] 男的 | 想爽 | Sexism | hate [END]
同性恋 | 啥也不懂啥也不是 | non-hate | non-hate [SEP] 你们 | 啥也不懂啥也不是 | non-hate | non-hate [SEP] 你们同性恋 | 啥也不懂啥也不是 | non-hate | non-hate [SEP] 你们同婚 | 啥也不懂啥也不是 | non-hate | non-hate [END]
女生 | 建 | Sexism | hate [SEP] 女生 | 全国信绿 | Sexism | hate [END]
广东 | 都不知道黑啥。。 | Region | hate [END]
女拳男 | 能不能414阿？ | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
黑人 | 背叛 | Racism | hate [END]
河南 | 黑 | Region | hate [SEP] 河南 | 全国人民 | Region | hate [SEP] 西安 | 黑 | Region | hate [SEP] 西安 | 全国人民 | Region | hate [END]
度度 | 马上就缩了回去怎么不继续表演 | non-hate | non-hate [END]
嫁给黑人的国女 | 自觉点 | Racism | hate [SEP] 嫁给黑人的国女 | 污染别人家的基因就说不过去了 | Racism | hate [SEP] 黑二代 | 自觉点 | Racism | hate [SEP] 黑二代 | 污染别人家的基因就说不过去了 | Racism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
差评 | 要 | non-hate | non-hate [SEP] 差评 | 先买游戏玩过后才能 | non-hate | non-hate [END]
女〇 | 一堆 | Sexism | hate [END]
这人 | 这辈子没出过抚顺 | Region | hate [END]
新疆的回族 | 被黑惨了 | Region | hate [END]
黑人 | 只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 黑人 | 要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [SEP] 犹太人凯乐奇计划 | 只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 犹太人凯乐奇计划 | 要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
蛤？他明明黑的是广西好吧？ | 他明明黑的是广西 | non-hate | non-hate [END]
正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑 | 满嘴道德仁义 | non-hate | non-hate [END]
反同性恋的吧主 | 鸠占鹊巢又开始了 | LGBTQ | hate [END]
